Username,IPAddress1,IPAddress2,Country,Flag
73152231,1.159.239.145,None,AU,DOMESTIC
73113211,130.95.254.67,None,AU,DOMESTIC
75271364,58.178.219.34,None,AU,DOMESTIC
75114917,180.150.81.170,None,AU,DOMESTIC
75056422,60.241.66.23,None,AU,DOMESTIC
71278970,218.215.214.239,None,AU,DOMESTIC
74597297,106.68.231.231,60.241.63.163,AU,DOMESTIC
73340333,106.68.214.213,None,AU,DOMESTIC
74691723,120.16.189.64,None,AU,DOMESTIC
73585410,220.245.38.144,None,AU,DOMESTIC
72523352,125.63.25.175,None,AU,DOMESTIC
74557736,121.200.42.73,None,AU,DOMESTIC
73534778,61.245.136.51,None,AU,DOMESTIC
74657353,120.16.156.149,None,AU,DOMESTIC
74611559,130.95.254.171,None,AU,DOMESTIC
66952323,58.7.209.53,None,AU,DOMESTIC
74703360,58.169.79.193,101.175.150.129,AU,DOMESTIC
74419897,125.63.29.201,125.63.25.161,AU,DOMESTIC
75128177,147.69.121.39,147.69.1.196,AU,DOMESTIC
72814311,101.175.176.55,None,AU,DOMESTIC
74697149,203.217.78.141,None,AU,DOMESTIC
73276450,1.159.163.63,None,AU,DOMESTIC
71965129,124.189.135.222,None,AU,DOMESTIC
74845062,106.68.9.8,130.95.254.147,AU,DOMESTIC
72848446,60.241.82.99,None,AU,DOMESTIC
73509516,157.211.97.15,None,AU,DOMESTIC
72619242,1.146.188.208,None,AU,DOMESTIC
73447046,120.16.210.169,None,AU,DOMESTIC
73417050,114.198.114.109,None,AU,DOMESTIC
74887119,49.194.69.148,None,AU,DOMESTIC
75078128,101.175.176.254,None,AU,DOMESTIC
74889041,49.192.42.146,None,AU,DOMESTIC
73115889,49.196.203.82,None,AU,DOMESTIC
74373666,125.63.29.87,None,AU,DOMESTIC
74968574,106.69.187.234,106.69.186.230,AU,DOMESTIC
73075267,125.63.29.68,None,AU,DOMESTIC
73539017,194.223.92.25,None,AU,DOMESTIC
74510687,218.214.106.227,None,AU,DOMESTIC
75221950,1.146.141.30,49.192.161.202,AU,DOMESTIC
74622138,159.196.132.150,None,AU,DOMESTIC
74588838,120.16.81.222,None,AU,DOMESTIC
74796960,106.69.8.104,None,AU,DOMESTIC
73501572,58.169.31.89,None,AU,DOMESTIC
74687377,125.63.25.253,None,AU,DOMESTIC
74750294,203.132.91.88,None,AU,DOMESTIC
75239088,220.233.44.11,None,AU,DOMESTIC
74588084,110.146.164.143,None,AU,DOMESTIC
75080584,58.175.89.130,None,AU,DOMESTIC
70718125,101.185.225.58,None,AU,DOMESTIC
74805671,106.68.183.231,None,AU,DOMESTIC
75215660,130.95.254.218,130.95.254.193,AU,DOMESTIC
72642437,49.255.165.82,None,AU,DOMESTIC
73735797,80.249.1.179,None,PL,INTERNATIONAL
74499605,130.95.40.103,None,AU,DOMESTIC
74948553,124.188.223.215,None,AU,DOMESTIC
69023508,110.142.189.235,None,AU,DOMESTIC
73532071,58.169.63.183,None,AU,DOMESTIC
74324557,130.95.254.244,None,AU,DOMESTIC
74573191,115.70.28.206,None,AU,DOMESTIC
74708208,125.63.29.203,None,AU,DOMESTIC
74487994,130.95.40.98,None,AU,DOMESTIC
75265872,147.69.131.143,None,AU,DOMESTIC
75151909,120.149.2.18,None,AU,DOMESTIC
75136206,130.95.254.234,None,AU,DOMESTIC
74795723,130.95.254.166,None,AU,DOMESTIC
74725378,101.118.143.34,None,AU,DOMESTIC
74989348,101.175.174.141,None,AU,DOMESTIC
74755431,14.201.146.80,None,AU,DOMESTIC
72142087,134.7.244.195,None,AU,DOMESTIC
72892770,130.95.254.66,130.95.254.33,AU,DOMESTIC
75118311,116.206.185.138,120.16.190.125,AU,DOMESTIC
74889097,1.159.138.249,None,AU,DOMESTIC
74170901,49.194.144.93,None,AU,DOMESTIC
74244367,106.68.226.198,194.223.91.68,AU,DOMESTIC
74339211,101.118.205.4,None,AU,DOMESTIC
73371743,14.200.220.86,None,AU,DOMESTIC
74867252,130.95.40.98,None,AU,DOMESTIC
74917031,130.95.40.98,None,AU,DOMESTIC
73451530,130.95.254.117,None,AU,DOMESTIC
72768153,120.16.175.38,None,AU,DOMESTIC
74541678,58.175.70.73,None,AU,DOMESTIC
75017454,194.223.95.196,None,AU,DOMESTIC
74283426,123.208.216.50,None,AU,DOMESTIC
75365266,203.219.72.135,None,AU,DOMESTIC
74687406,130.95.254.33,None,AU,DOMESTIC
72520338,49.192.129.208,None,AU,DOMESTIC
74679710,103.94.51.1,None,AU,DOMESTIC
73289920,203.59.181.82,None,AU,DOMESTIC
72627468,130.95.40.100,None,AU,DOMESTIC
74637166,130.95.254.50,None,AU,DOMESTIC
73202205,202.171.182.204,None,AU,DOMESTIC
72524257,106.68.241.41,None,AU,DOMESTIC
74493668,123.208.238.23,None,AU,DOMESTIC
74317712,58.173.51.206,None,AU,DOMESTIC
74691918,121.200.36.195,130.95.40.101,AU,DOMESTIC
75380237,130.95.254.199,None,AU,DOMESTIC
74563636,58.168.0.181,130.95.254.167,AU,DOMESTIC
73492890,66.115.147.73,None,US,INTERNATIONAL
72643674,130.95.254.124,None,AU,DOMESTIC
75084223,149.167.162.98,130.95.40.98,AU,DOMESTIC
74253533,106.69.56.155,None,AU,DOMESTIC
74537009,130.95.254.128,None,AU,DOMESTIC
75274099,101.185.135.52,None,AU,DOMESTIC
72113607,49.255.81.154,None,AU,DOMESTIC
72851859,123.208.145.59,None,AU,DOMESTIC
75061094,130.95.40.102,None,AU,DOMESTIC
74674629,130.95.254.135,134.7.244.28,AU,DOMESTIC
75395177,130.95.254.80,None,AU,DOMESTIC
74701639,130.95.40.100,None,AU,DOMESTIC
74494450,130.95.254.202,None,AU,DOMESTIC
74498506,61.68.199.111,130.95.40.72,AU,DOMESTIC
74790897,101.189.3.222,None,AU,DOMESTIC
65500981,203.217.76.2,None,AU,DOMESTIC
74923066,139.216.226.10,None,AU,DOMESTIC
74660424,194.223.186.89,None,AU,DOMESTIC
73771273,106.69.180.153,None,AU,DOMESTIC
74641703,101.185.161.161,None,AU,DOMESTIC
74574849,49.255.1.192,None,AU,DOMESTIC
74576008,1.159.239.137,None,AU,DOMESTIC
73214338,118.209.199.114,None,AU,DOMESTIC
75091546,157.211.98.103,None,AU,DOMESTIC
73351355,106.68.189.25,None,AU,DOMESTIC
73488861,49.194.158.186,None,AU,DOMESTIC
74440460,106.69.174.52,None,AU,DOMESTIC
74673904,130.95.254.176,None,AU,DOMESTIC
74750378,103.94.51.1,1.159.224.105,AU,DOMESTIC
74485984,110.22.150.141,None,AU,DOMESTIC
71315881,1.146.147.195,1.146.197.11,AU,DOMESTIC
74395825,130.95.254.137,None,AU,DOMESTIC
75239339,124.171.246.218,None,AU,DOMESTIC
74390930,58.160.92.106,None,AU,DOMESTIC
74858058,130.95.154.173,130.95.238.146,AU,DOMESTIC
72157015,118.102.70.220,None,AU,DOMESTIC
73225472,202.94.72.254,None,AU,DOMESTIC
