ip,country,city,latitude,longitude,flag
66.115.147.73,CA,Vancouver (Central Vancouver),49.260156949999995,-123.05130708933925,international
1.159.239.145,AU,Perth,-31.9558933,115.8605855,domestic
130.95.254.67,AU,Claremont,-31.980291,115.7839988,domestic
58.178.219.34,AU,Dunsborough,-33.614656,115.1065921,domestic
1.159.239.145,AU,Perth,-31.9558933,115.8605855,domestic
180.150.81.170,AU,Leinster,-27.9141349,120.6977266,domestic
60.241.66.23,AU,Perth,-31.9558933,115.8605855,domestic
218.215.214.239,AU,Perth,-31.9558933,115.8605855,domestic
106.68.231.231,AU,Melbourne,-37.8142454,144.9631732,domestic
106.68.231.231,AU,Melbourne,-37.8142454,144.9631732,domestic
106.68.214.213,AU,Perth,-31.9558933,115.8605855,domestic
120.16.189.64,AU,Iluka,-31.7362652,115.7312093,domestic
220.245.38.144,AU,Melbourne,-37.8142454,144.9631732,domestic
125.63.25.175,AU,Claremont,-31.980291,115.7839988,domestic
125.63.25.175,AU,Claremont,-31.980291,115.7839988,domestic
121.200.42.73,AU,Perth,-31.9558933,115.8605855,domestic
61.245.136.51,AU,Leinster,-27.9141349,120.6977266,domestic
61.245.136.51,AU,Leinster,-27.9141349,120.6977266,domestic
61.245.136.51,AU,Leinster,-27.9141349,120.6977266,domestic
120.16.156.149,AU,Perth,-31.9558933,115.8605855,domestic
130.95.254.171,AU,Claremont,-31.980291,115.7839988,domestic
58.7.209.53,AU,Bedfordale,-32.179239,116.0652304,domestic
58.169.79.193,AU,Perth,-31.9558933,115.8605855,domestic
125.63.25.45,AU,Claremont,-31.980291,115.7839988,domestic
147.69.121.39,AU,Perth,-31.9558933,115.8605855,domestic
101.175.176.55,AU,Perth,-31.9558933,115.8605855,domestic
101.175.176.55,AU,Perth,-31.9558933,115.8605855,domestic
203.217.78.141,AU,Trigg,-31.875679,115.755874,domestic
1.159.163.63,AU,Perth,-31.9558933,115.8605855,domestic
124.189.135.222,AU,Perth,-31.9558933,115.8605855,domestic
106.68.9.8,AU,Perth,-31.9558933,115.8605855,domestic
60.241.82.99,AU,Perth,-31.9558933,115.8605855,domestic
157.211.97.15,AU,Sydney,-33.8698439,151.2082848,domestic
125.63.29.201,AU,Perth,-31.9558933,115.8605855,domestic
1.146.188.208,AU,Perth,-31.9558933,115.8605855,domestic
120.16.210.169,AU,Perth,-31.9558933,115.8605855,domestic
114.198.114.109,AU,Melbourne,-37.8142454,144.9631732,domestic
114.198.114.109,AU,Melbourne,-37.8142454,144.9631732,domestic
49.194.69.148,AU,Perth,-31.9558933,115.8605855,domestic
101.175.176.254,AU,Perth,-31.9558933,115.8605855,domestic
101.175.176.254,AU,Perth,-31.9558933,115.8605855,domestic
49.192.42.146,AU,Perth,-31.9558933,115.8605855,domestic
49.196.203.82,AU,Perth,-31.9558933,115.8605855,domestic
125.63.29.87,AU,Perth,-31.9558933,115.8605855,domestic
106.69.187.234,AU,Perth,-31.9558933,115.8605855,domestic
125.63.29.68,AU,Perth,-31.9558933,115.8605855,domestic
194.223.92.25,AU,Sydney,-33.8698439,151.2082848,domestic
218.214.106.227,AU,Perth,-31.9558933,115.8605855,domestic
